program,code lines,IR lines,nBB,nM,nCP,nLoA
basename,190,827,19,17,13,26
cat,767,2215,119,151,94,216
chgrp,319,1158,43,44,32,60
cksum,310,1012,9,11,8,20
cp,1226,3619,79,37,27,56
csplit,1526,5550,,,,
cut,609,2196,40,36,25,56
date,604,2223,69,80,57,110
dd,2581,9420,366,451,235,748
df,1847,8146,377,410,278,698
dirname,136,635,13,13,10,20
du,1140,3973,206,273,138,424
env,952,3875,197,241,141,374
expand,238,1057,46,55,37,78
expr,1117,5549,,,,
false,2,442,6,7,6,12
fmt,1029,4083,44,45,26,64
getlimits,172,2681,109,189,109,324
head,1095,3596,196,253,149,386
id,464,1922,67,47,31,84
install,1059,3545,120,129,72,162
kill,314,1376,64,90,49,142
link,93,581,10,8,8,12
ln,681,2350,64,60,37,100
ls,5520,24925,394,450,249,654
make-prime-list,230,813,32,43,27,78
mkdir,296,1230,28,30,21,42
mktemp,350,1347,65,80,53,120
mv,512,1903,66,61,40,92
nice,221,905,27,31,24,54
nl,596,1994,35,39,24,58
numfmt,1651,6036,113,118,69,154
od,1987,7876,230,291,173,454
paste,530,2234,31,41,27,54
pathchk,422,1306,56,77,44,120
pinky,602,3161,72,84,48,128
pr,2848,10596,105,89,50,142
printenv,154,742,25,34,20,60
printf,715,2811,118,147,92,200
ptx,2153,7888,487,651,294,1060
pwd,394,1777,65,74,50,116
readlink,178,813,34,36,24,50
realpath,278,1382,74,86,49,134
rm,373,1213,40,41,26,64
rmdir,253,1048,31,38,23,62
seq,736,3057,105,132,84,226
shred,1279,3789,67,83,52,130
shuf,615,2524,128,177,106,310
sleep,146,688,21,28,18,46
split,1668,6262,248,302,189,510
stat,1907,18653,55,65,44,86
stdbuf,394,1644,87,109,76,154
stty,2322,5885,163,167,110,250
sum,273,1312,15,19,14,32
sync,239,838,29,39,27,58
tac,713,2324,64,75,48,116
tail,2537,8657,458,575,329,894
tee,278,1193,48,61,37,96
test,867,3968,,,,
tr,1914,6139,152,167,97,282
true,80,441,6,7,6,12
truncate,388,1564,78,94,58,150
tty,133,624,13,14,12,20
uname,376,1236,76,101,61,140
unexpand,326,1255,60,67,46,98
uniq,662,2379,110,125,77,192
unlink,88,543,7,5,6,10
uptime,257,1249,5,2,3,4
users,150,899,5,2,3,4
wc,895,3689,89,100,68,158
yes,130,765,19,26,15,44
